"SEQ","MOVEDATE","COMPOUNDPOS_FROM","COMPOUNDPOS_TO","UNITNR","LOCATION","SEQ","UNITTYPE","ADDRESS_CLIENT","MOVETYPE"
4116239,2021-02-03 19:06:00,,TRUCK,ATRU 295000 6,CTTROT,1860488,"22TK",$PCCGDY,Rotzooi
4116247,2021-02-03 19:16:00,TRUCK,"04.03.1",ATRU 295000 6,CTTROT,1860488,"22TK",$PCCGDY,Gate in truck
4116539,2021-02-04 06:40:00,"04.03.1","08.03.2",ATRU 295000 6,CTTROT,1860488,"22TK",$PCCGDY,InternalMoveLocations
4116775,2021-02-04 08:11:00,"08.03.2","08.04.2",ATRU 295000 6,CTTROT,1860488,"22TK",$PCCGDY,InternalMoveLocations
4118084,2021-02-04 15:35:00,"08.04.2",TOUT,ATRU 295000 6,CTTROT,1860488,"22TK",$PCCGDY,Gate out train
4119056,2021-02-04 20:38:00,TOUT,,ATRU 295000 6,CTTROT,1860488,"22TK",$PCCGDY,Rotzooi
4116287,2021-02-03 19:53:00,,TRUCK,ATRU 310004 9,CTTROT,1860503,"22TK",$PCCGDY,Rotzooi
4116305,2021-02-03 20:04:00,TRUCK,"08.01.2",ATRU 310004 9,CTTROT,1860503,"22TK",$PCCGDY,Gate in truck
4116590,2021-02-04 07:02:00,"08.01.2","08.02.2",ATRU 310004 9,CTTROT,1860503,"22TK",$PCCGDY,InternalMoveLocations
4116647,2021-02-04 07:24:00,"08.02.2","08.05.1",ATRU 310004 9,CTTROT,1860503,"22TK",$PCCGDY,InternalMoveLocations
4116649,2021-02-04 07:24:00,"08.05.1","07.02.1",ATRU 310004 9,CTTROT,1860503,"22TK",$PCCGDY,InternalMoveLocations
