NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value
,,CTTROT20210323POL,,,,3082000,9,27000,26TK,3057823,,1.3,26940,,,,368022,,lader,CTTROT,,4800,TANU 351120 0,19.10.1,57,11,0,1601
,,CTTROT20210323POL,,,,3267002,8,25500,20TK,3057789,,1,25500,,,,368022,,lader,CTTROT,,4000,DHDU 208892 0,07.10.1,57,11,0,1601
,,CTTROT20210323POL,SGGMRS,3,33884961513-7,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGGNS,2,33884962447-7,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGGNS,4,33884962474-1,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGGNS,13,33884961026-0,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGGNS,19,33884961494-0,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGGRSS,21,37804850126-6,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGMMNS,6,37804556319-4,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGMMNS,20,33684558422-4,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
,,CTTROT20210323POL,SGNS,16,37804557221-1,,,,,,,,,,,,368022,,,,,,,,57,11,0,1601
4,,CTTROT20210323POL,SGNS,9,31804557013-8,,,,,,,,,20000,60,,368022,60000,,,19.639999389648438,,,,57,11,0,1601
