Partner-Ref;Referenz;Waggon-Nr.;BU;Auftrag;Ladedatum;Container #;Turn-Out;Seeschiff;Ladest.;TEU;Termin;CTyp;Reeder;C-Gross;C-Netto;Cls;VP;Warenbezeichnung;GG-Bez.;ETA;Ladestelle;Entladest.;Zollagent;T1#
PS EXTRA TREIN;;;BSL;1210100197;12/02/2021;GCXU2159268;XJD09ZV;ONE IBIS;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;19.885,00;17685;3825;Kartons;FOODSTUFF;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE578
PS EXTRA TREIN;;;BSL;1210100199;12/02/2021;TRHU1743170;WVRJJXP;ONE IBIS;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;17.523,72;15323.72;3297;Kartons;FOODSTUFF;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE5A2
PS EXTRA TREIN;;;BSL;1210100339;12/02/2021;HLXU3248190;1X3P5VGMSF;ONE HARBOUR;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hapag Lloyd, Rotterdam;9.461,16;7261.16;1036;Packstücke;JAPANESE FOODSTUFFS;;06/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E51BD2
PS EXTRA TREIN;;;BSL;1210101361;12/02/2021;NYKU9753220;0Z9ECK4;ONE IBIS;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;25.864,50;23664.5;2350;Packstücke;THAI HOM MALI RICE;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE709
PS EXTRA TREIN;;;BSL;1210101361;12/02/2021;TEMU0617786;9RJNVFD;ONE IBIS;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;25.864,50;23664.5;2350;Packstücke;THAI HOM MALI RICE;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE709
PS EXTRA TREIN;;;BSL;1210101418;12/02/2021;TCKU1381047;APDF6JQ;ONE IBIS;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;22.550,00;20350;3700;Kartons;CANNED SWEET KERNEL CORN;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE717
PS EXTRA TREIN;;;BSL;1210101418;12/02/2021;TCKU3215019;NW345A6;ONE IBIS;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;22.550,00;20350;3700;Packstücke;CANNED SWEET KERNEL CORN;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE717
PS EXTRA TREIN;;;BSL;1210101845;12/02/2021;TGBU9639662;1V5JAR434F;UMM QARN;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Hapag Lloyd, Rotterdam;9.035,00;5035;1060;Kartons;PAPER BOWL;;30/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E76892
PS EXTRA TREIN;;;BSL;1210103011;12/02/2021;TCLU4945699;A80CKPT;ONE STORK;CTT Rotterdam BV, Rotterdam;2;13/02/2021;40HC;Ocean Network Express Netherlands, Rotterdam;6.806,00;2806;93;Kartons;Möbel;;05/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E76B21
PS EXTRA TREIN;;;BSL;1210103011;12/02/2021;TCNU7206940;XKRXYNL;ONE STORK;CTT Rotterdam BV, Rotterdam;2;13/02/2021;40HC;Ocean Network Express Netherlands, Rotterdam;7.250,00;3250;185;Kartons;Möbel;;05/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E76B05
PS EXTRA TREIN;;;BSL;1210104724;12/02/2021;GLDU9437163;FAC3PPBH;MSC ASYA;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;MSC S.A. c/o MSC Belgium N.V., Antwerpen;19.190,00;16990;2013;Packstücke;food stuff;;29/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E76B99
PS EXTRA ZUG;;;BSL;1210101879;12/02/2021;BMOU5311347;1177348117;EVER GRADE;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Evergreen Marine Corporation (Taiwan) Ltd., Hamburg;18.078,30;14078.3;1610;Packstücke;Sammelgut;;07/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;Fremd T1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
